Code,Product Name,Unit,NV ฿/unit,Lotus ฿/unit,Makro ฿/unit,Cheapest,Lotus % vs NV,Makro % vs NV
10837,เนสกาแฟ3in1 60ซ.เอสเปรสโซ่โรสต์(เขียว),หีบ,217.71,—,3.8,Makro,,-98.3%
10838,เนสกาแฟ3in1 60ซ.ริชอโรม่า(แดง),หีบ,217.35,—,—,NV,,
10147,มาม่าหมูสับ,หีบ,5.58,—,—,NV,,
10343,น้ำตาลทรายแดง ร.เรือ 50กก.,กระสอบ,1123.43,—,—,NV,,
10266,รสดี400ก.รสหมู *รุ่น 63บ.,หีบ,50.63,—,20,Makro,,-60.5%
11423,ดีโด้ขวด10บ.สายน้ำผึ้ง,หีบ,7.3,—,—,NV,,
22693,เดชา ปลาร้าโม่ถุง 900ก.,หีบ,48.91,—,—,NV,,
14294,เบนเนทสบู่130ก.ซีแอนด์อี สีส้ม,หีบ,36.78,—,8.5,Makro,,-76.9%
11345,แฟนต้า1.25ล.แดง,แพ็ค,24.27,—,16,Makro,,-34.1%
10286,อายิโน๊ะโม๊ะโต๊ะ72ก.,หีบ,8.26,—,8.9,NV,,+7.7%
11965,ยูโร่คัสตาร์ดเค้ก,หีบ,3.86,42,4.16,NV,+988.1%,+7.8%
10488,ทิพรสน้ำปลา700มล.(ฝาขาว),หีบ,26.29,28.17,28.67,NV,+7.2%,+9.1%
10381,อร่อยดีกะทิ250มล.,หีบ,22.58,30,—,NV,+32.9%,
10470,แม่ครัวซอสหอยนางรม600มล.,หีบ,46.63,53,51.25,NV,+13.7%,+9.9%
24197,อายิโนะโมะโต๊ะ500ก.รุ่น59บ(ใหม่),หีบ,51.1,58.5,—,NV,+14.5%,
10533,เด็กสมบูรณ์ซีอิ๊วขาวสูตร1 1000มล.,หีบ,47.72,—,—,NV,,
13022,ไลปอนเอฟ500มล.(ถุงเติม),หีบ,16.52,27.33,—,NV,+65.4%,
12706,108 Shop ผงซักฟอก1000ก.,หีบ,35.21,—,—,NV,,
10485,ทิพรสน้ำปลา300มล.,หีบ,14.55,17,15.54,NV,+16.8%,+6.8%
24199,อายิโนะโมะโต๊ะ1กก.รุ่น113บ(ใหม่),หีบ,100.62,111,108.5,NV,+10.3%,+7.8%
